아티스트,곡명,앨범명,앨범이미지,유튜브링크
Valley,"Good, but not together","Good, but not together","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/588/345/83588345_1677544531539_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fWyLu63Pxi4
Ariana Grande & The Weeknd,Die For You (Remix),Die For You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/580/493/83580493_1677288048797_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YQ-qToZUybM
Mina Okabe,Talk To Me,Spinning Around,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/308/83652308_1679559927896_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=d1XzyS7RXXA
Zack Tabudlo,Give Me Your Forever,Episode,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/332/473/82332473_1634101233517_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5HZ9qeFjhYk
Keshi,LIMBO,GABRIEL (Korean Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/514/313/82514313_1648098143752_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ssIiBm0ORuI
Kamal.,free flow,free flow,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/549/462/83549462_1676408734144_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CtVHByJoGek
Taylor Swift,Midnight Rain,Midnights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/097/997/83097997_1666327440349_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Odh9ddPUkEY
Claire Rosinkranz,Never Goes Away,Never Goes Away,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/610/553/83610553_1678258233397_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iv7-fPMjb8U
Daniel Caesar,Let Me Go,Let Me Go,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/530/417/83530417_1676673415915_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=R7ofTTdMh6A
d4vd,Placebo Effect,Placebo Effect,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/521/351/83521351_1676670086529_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DjzdIdaYfOM
Sam Smith,I'm Not The Only One,In The Lonely Hour (Standard Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/437/332/80437332_1401155109262_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=J_BId2d5zB4
Clairo,Sofia,Sofia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/249/614/81249614_1564044028579_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L9l8zCOwEII
Kiana Lede,Jealous (Feat. Ella Mai),Jealous,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/693/076/83693076_1680366327540_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sMY65iQ4ZyI
Kali Uchis,I Wish you Roses,Red Moon In Venus,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/592/214/83592214_1677660050551_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-Y7zc0eO26k
Fujii Kaze,Shinunoga E-Wa,HELP EVER HURT NEVER,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/447/000/81447000_1589936747435_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uVASXCjYlWs
Stephen Sanchez,Until I Found You,Easy On My Eyes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/907/697/82907697_1660698636025_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GxldQ9eX2wo
Gracie Abrams,Amelie,Good Riddance,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/573/717/83573717_1677106540249_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FhDkYT5TZaI
Loyle Carner,A Lasting Place,hugo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/094/462/83094462_1666220136906_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2shSiEZbY_I
Chiiild,Antidote,Better Luck In The Next Life,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/592/227/83592227_1677660387665_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HXFS0wzG16w
Lana Del Rey,A&W,Did you know that there's a tunnel under Ocean Blvd,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/654/705/83654705_1679618744475_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pYqky795R1s
권유 (gwon.u),Home Sweet Home,Home Sweet Home,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/116/019/81116019_1540276612253_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oN_ZMCn5qXE
Ashmute (애쉬뮤트),Summer's Gone,Summer's Gone,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/109/898/81109898_1538724709061_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TMmuXHzub3c
환상약국 (Fantastic Drugstore),Scarlet,Scarlet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/753/316/80753316_1448951210895_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SrLyxr-vw8U
밴드 88,환상특급 (Twilight Zone),환상특급 (Twilight Zone),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/037/243/81037243_1519626083523_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wnpdCQwW3RY
유스토 (justus),처음 만난 그때처럼 (Feat. 민정),처음 만난 그때처럼,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/120/814/81120814_1541331746731_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MJS-aIGK-Js
Oowl Hannal (우울 한날),한 날,섬 #2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/117/281/81117281_1540536969527_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DgA_Q_YgYEA
우효,K드라마,어드벤처,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/702/633/80702633_1444126968767_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oLhKEKgg53M
주보링,난파선,난파선,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/113/496/81113496_1539677428659_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=I5qYM0_z3UE
이병현,불씨,불씨,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/025/324/81025324_1516696035022_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D91WuYd7nL8
태윤 (TAEYOON),드라이브,청춘 (靑春),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/224/035/81224035_1560330010707_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=icaTnl5-WCQ
멧 (MET),The Ordinary Life,The Ordinary Life,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/065/246/81065246_1526608614226_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=COWp1bzvSEU
The Black Underground,Slow Life,The Shocking Pink,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/111/356/81111356_1539166726737_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7N_9wKKoYAY
무니 (Moonee),소년,2x3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/085/159/81085159_1531901507207_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gdkmjey0SG4
후디니 (Houdini),Liberty Song,HOLLOW,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/260/204/81260204_1566547351865_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_sKy_BQVZRk
물도둑,바닥,바닥,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/096/557/81096557_1534991207824_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_rMrqz-h_ek
오로라스팅,망우동,망우동,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/009/375/81009375_1512556195424_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4kVYL2RlShU
홍크 (HONK),남과 남은,Gaerong,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/986/917/80986917_1505352502035_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rOKNYvdP8Us
Jeff Goldblum & The Mildred Snitzer Orchestra,In The Wee Small Hours Of The Morning,Plays Well With Others,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/333/83652333_1679673352011_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XrMAFmLK1vI
Matt Belsante,There Will Never Be Another You,Matt Belsante : The Collection,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/454/974/81454974_1590627914742_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7UW61Kb2Sjw
Laura Fygi & Dave,Dansez Maintenant,Rendez Vous,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/254/320/81254320_1566887232695_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hLpGGx1AQoY
Eliane Elias,You’re Getting To Be A Habit With Me,Dance Of Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/932/957/80932957_1490260303243_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-JoXIrhUhXo
Rosemary Clooney,Oh What A Beautiful Morning,"Rosemary Clooney Sings Rodgers, Hart & Hammerstein ‎","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/841/098/82841098_1658338262391_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TzZTNA2ErGI
Jacky Terrasson,Que Reste - T'Il De Nos Amours?,A Paris,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/043/603/293/43603293_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=70fgwFIDPEo
Astrud Gilberto,Never My Love,Windy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/967/615/79967615_1412671455967_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mnuMdz2-ZN4
The Three Sounds,Makin' Whoopee,Standards,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/054/920/349/54920349_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nUZd7E8Bq1E
Diana Krall,Isn't It Romantic,Turn Up The Quiet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/945/838/80945838_1494491649972_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xVRoXIOzhHo
Horace Silver,Sighin' And Cryin',Song For My Father - Blue Note RVG Edition,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/545/15019545_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CWHSKcVgEXM
