아티스트,곡명,앨범명,앨범이미지,유튜브링크
blink-182,What's My Age Again?,Enema Of The State,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/039/115/106/39115106_1609913157190_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=K7l5ZeVVoCA
Good Charlotte,The Anthem,The Young and Hopeless,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/043/756/15043756_1438763498387_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=desJKYvdq9A
All Time Low,Modern Love,Tell Me I'm Alive (Clean),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/478/83665478_1679882451701_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=b8OnjZlxEOE
Panic! At The Disco,I Write Sins Not Tragedies,A Fever You Can't Sweat Out,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/041/918/189/41918189_1437449136578_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vc6vs-l5dkc
5 Seconds Of Summer,She Looks So Perfect (영화 청년경찰 엔딩곡),5 Seconds Of Summer (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/445/647/80445647_1404093858747_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AMb6CsUifXY
blackbear & New Found Glory,nothing matters,in loving memory,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/706/599/82706599_1661475090071_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iSGzo_s861k
Jimmy Eat World,The Middle,Bleed American,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/542/943/80542943_1549523330665_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oKsxPW6i3pM
Nofx,Idiots Are Taking Over,Regaining Unconsciousness [EP],"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/074/796/048/74796048_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2sNWDfryyMk
Avril Lavigne,Sk8er Boi,Let Go,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/044/934/15044934_1404873909048_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TIy3n2b7V9k
Machine Gun Kelly,forget me too (Feat. Halsey),Tickets To My Downfall,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/602/850/81602850_1600864529563_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0tn6nWYNK3Q
Cobra Starship,Guilty Pleasure,Viva La Cobra!,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/071/986/256/71986256_1410404145287_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MGs9Su2Dbic
Paramore,Still into You,Paramore,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/348/714/80348714_1668449751173_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OblL026SvD4
Fall Out Boy,America'S Suitehearts (Album Ver.),Folie A Deux (Digital Album),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/072/147/722/72147722_1438765729264_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mDsYRF7v4EY
Yungblud,Don't Feel Like Feeling Sad Today,YUNGBLUD,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/940/967/82940967_1662017127695_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3kd-xgZFcQs
All Time Low,Time-Bomb,Dirty Work,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/259/043/80259043_1583194747047_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xkgNsE9Uhzc
Green Day,Basket Case,Dookie,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/059/107/15059107_1379053251838_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NUTGr5t3MoY
jxdn,SO WHAT!,Tell Me About Tomorrow,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/449/165/81449165_1625448626447_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1O7HyNkyAnw
New Found Glory,Kiss Me,From The Screen To Your Stereo II,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/068/289/781/68289781_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=04LkZ-gAIV4
Yellowcard,Breathing,Ocean Avenue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/041/638/160/41638160_1410404612082_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SucBpQiwYZU
